,name,esrb,total_rating
0,forma.8,4,77.9436892
1,de Blob 2,4,74.19318669
2,Zen Pinball 2,4,73.5
3,Yu-Gi-Oh! Legacy of the Duelist,4,80.0079187
4,Yooka-Laylee,4,69.37822979
5,Xenoraid,4,69.16666667
6,Worms W.M.D,4,77.46797791
7,World to the West,4,73.875
8,World of Final Fantasy,4,76.90846542
9,Wonder Boy: The Dragon's Trap,4,76.10686937
10,Wizard of Legend,4,71.33672054
11,Wild Guns Reloaded,4,79.125
12,Vostok Inc.,4,62
13,Viking Squad,4,79.16666667
14,Velocity 2X,4,83.15646168
15,VVVVVV,4,79.90607058
16,VR Invaders,4,60
17,Ultimate Chicken Horse,4,75.16749002
18,Typoman,4,79.64285714
19,Type:Rider,4,81.04665135
20,Trulon: The Shadow Engine,4,49.83333333
21,Tron Run/r,4,71.25
22,Trine 3: The Artifacts of Power,4,69.61881907
23,Trials Fusion,4,79.37201838
24,Treadnauts,4,70
25,Transcripted,4,70
26,Toy Odyssey: The Lost and Found,4,62.5
27,Towerfall Ascension,4,86.22143252
28,Tiny Brains,4,63.08333333
29,Thumper,4,84.56747246
30,The Voice,4,52.5
31,The Tenth Line,4,70
32,The Talos Principle,4,88.73980619
33,The Swords of Ditto,4,61.27777778
34,The Swindle,4,66.6875
35,The Swapper,4,83.21127299
36,The Mummy: Demastered,4,82
37,The Mooseman,4,70
38,The Metronomicon,4,81
39,The Little Acre,4,72.05163922
40,The Adventure Pals,4,72.7
41,Tethered,4,77.5
42,Tennis in the face,4,72.16666667
43,Tembo the Badass Elephant,4,75.5
44,Talisman: Digital Edition,4,60
45,TINY METAL,4,71.33333333
46,Surviving Mars,4,71.90981292
47,Super Hydorah,4,73.33333333
48,Super Bomberman R Shiny Edition,4,82
49,Super Bomberman R,4,65.33333333
50,Subnautica,4,84.84079009
51,Strider,4,75.50709461
52,SteamWorld Heist,4,90.31459234
53,SteamWorld Dig 2,4,86.93813388
54,SteamWorld Dig,4,78.65816952
55,Stardew Valley,4,89.20512048
56,Star Trek: Bridge Crew,4,75.91666667
57,Sportsfriends,4,73.71236705
58,Spellspire,4,72.66666667
59,South Park: The Fractured But Whole - SteelBook Gold Edition,4,57.5
60,Sonic Forces,4,58.66432442
61,Slime-san: Superslime Edition,4,85
62,Slime Rancher,4,74.60617718
63,Slam Land,4,60
64,Skylanders: Trap Team,4,82.26666667
65,Skylanders: Swap Force,4,83.06107615
66,Skylanders: SuperChargers,4,74
67,Skylanders: Imaginators,4,81.65384615
68,Shutshimi,4,62.63301006
69,Shape of the World,4,75
70,Secret of Mana,4,59
71,Scribblenauts Showdown,4,63
72,Screencheat,4,75.23506203
73,Save the Light,4,66.25
74,Saturday Morning RPG,4,90
75,Saban’s Mighty Morphin Power Rangers: Mega Battle,4,55.5
76,STARWHAL,4,64.9742528
77,Runner3,4,77.57142857
