,name,esrb,total_rating
0,flOw,3,74.69616645
1,de Blob,3,76
2,Zotrix,3,42
3,Yonder: The Cloud Catcher Chronicles,3,74.0869431
4,Xeodrifter,3,73.66944666
5,Wuppo,3,78.6
6,Woah Dave!,3,79.5
7,Windjammers,3,84.20708711
8,Werewolves Within,3,63.33333333
9,We Are Doomed,3,60
10,WRC 6 FIA World Rally Championship,3,64.25
11,WRC 5 FIA World Rally Championship,3,68.5
12,Vesta,3,58
13,Velocibox,3,73.75
14,Valentino Rossi: The Game,3,70
15,VIDEOBALL,3,70.4375
16,Unravel Two,3,76.31764556
17,Unravel,3,81.5777119
18,Undertale,3,92.8470095
19,Unbox: Newbies Adventure,3,74
20,Unbox,3,62.42033002
21,Tumblestone,3,67.5
22,TumbleSeed,3,82
23,Tumble VR,3,66.33333333
24,Trivial Pursuit Live!,3,80
25,Tricky Towers,3,73.70929566
26,Trailblazers,3,72
27,Toki Tori 2+,3,79.5
28,Titan Attacks!,3,69.79997558
29,The Witness,3,85.11759387
30,The Peanuts Movie: Snoopy's Grand Adventure,3,67.25
31,The Legend of Kage,3,67.82658
32,The Inner World: The Last Wind Monk,3,75
33,The Inner World,3,76.75587686
34,The Golf Club 2019 featuring PGA TOUR,3,59.625
35,The Golf Club 2,3,61.5
36,The Golf Club,3,68.75
37,The Bridge,3,70.25723429
38,The Bit.Trip,3,86
39,Tetris Ultimate,3,67.68023791
40,Teslagrad,3,79.28458794
41,Tennis World Tour,3,35
42,Tachyon Project,3,57.5
43,Table Top Racing: World Tour,3,49.8181333
44,Sébastien Loeb Rally Evo,3,61.66666667
45,Super Stardust Ultra,3,75.8924407
46,Star Wars: Racer Revenge,3,75.5
47,Spheroids,3,56.83333333
48,Spelunker World,3,64
49,SpeedRunners,3,68.26200778
50,Space Rift,3,52.5
51,Space Dave!,3,73
52,Sound Shapes,3,81.72933833
53,Sonic Mania Plus,3,88.38888889
54,Sonic Mania,3,84.25725722
55,Song of the Deep,3,71.22336317
56,Soft Body,3,71.4
57,So Many Me,3,75.5
58,Snake Pass,3,75.26120692
59,Small Radios Big Televisions,3,65.9375
60,Skylar & Plux: Adventure on Clover Island,3,60.19149909
61,Skykeepers,3,46.5
62,Shu,3,71.85
63,Shovel Knight: Treasure Trove,3,89.90822919
64,Shovel Knight,3,88.279266
65,Shift Happens,3,79.75
66,Semispheres,3,74
67,Runbow,3,73.91666667
68,Rolling Bob,3,73
69,Rocket League,3,85.9982351
70,Robonauts,3,63.83333333
71,Robinson: The Journey,3,56.5
72,Robbotto,3,60
73,Road Not Taken,3,72.5
74,Riptide GP2,3,70.80945152
75,Ride 2,3,76.07142857
76,Ride,3,68.28571429
77,Redout: Lightspeed Edition,3,80
78,Real Farm,3,40
79,Railway Empire,3,72.9177042
80,RIVE,3,77.54545455
81,R.B.I. Baseball 17,3,60
82,R.B.I. Baseball 15,3,50
83,R.B.I Baseball 18,3,32.5
84,Q.U.B.E.,3,68.75975802
85,Pure Pool,3,76.25
86,Pure Farming 2018,3,60
87,Pure Chess,3,55
88,Project CARS 2,3,77.55449715
89,Project CARS,3,79.25361322
90,Pro Evolution Soccer 2018,3,81.95071651
91,Pro Evolution Soccer 2017,3,79.38530261
92,Premium Pool Arena,3,50
93,Poncho,3,62.5
94,Planet of the Eyes,3,73.33333333
95,Pix the Cat,3,78.375
96,Perfect,3,50
97,Peggle 2,3,80.82941815
98,Pac-Man Championship Edition 2,3,78.71428571
99,PAC-MAN 256,3,77.55
100,Overcooked! 2,3,83.33706927
101,Overcooked,3,84.25257495
102,Oure,3,70
103,Original Journey,3,33.636363
104,OlliOlli2: Welcome to Olliwood,3,78.42826523
105,OlliOlli,3,74.66015773
106,Nova-111,3,73.42974261
107,Nom Nom Galaxy,3,65.83333333
108,No Heroes Here,3,70
109,New Everybody's Golf,3,79.2
110,NeuroVoider,3,79.9
111,NBA Playgrounds,3,68.5
112,NBA Live 18,3,67.5
113,NBA Live 16,3,70.375
114,NBA Live 15,3,66
115,NBA Live 14,3,48.75
116,NBA 2K18,3,59.99795139
117,NBA 2K14,3,80.29909637
118,NASCAR Heat 2,3,50
119,N.E.R.O.: Nothing Ever Remains Obscure,3,55
120,My Time at Portia,3,80
121,Mutant Mudds Deluxe,3,82.5
122,Mushroom Wars 2,3,71.25
123,MouseCraftï»¿,3,67.3078546
124,MotoGP 18,3,50
125,MotoGP 15,3,78.33333333
126,MotoGP 14,3,73.125
127,Moss,3,81.78571429
128,Monster Jam: Crush It!,3,50
129,Monster Jam,3,30
130,Monster Energy Supercross - The Official Videogame,3,74.16666667
131,Minit,3,73.97444294
132,Mighty Gunvolt,3,60
133,Metrico+,3,70.2
134,Mervils: A VR Adventure,3,67.5
135,Mekazoo,3,74.16666667
136,Mega Man X Collection,3,77.70750988
137,Mars 2030,3,50
138,Marooners,3,59.75
139,Mantis Burn Racing,3,72.625
140,Madden NFL 25,3,77.48051948
141,Madden NFL 19,3,80.88888889
142,Madden NFL 18,3,64.7
143,Madden NFL 16,3,84.24673924
144,MXGP: The Official Motocross Videogame,3,72.5
145,MXGP Pro,3,50
146,MXGP 3,3,80
147,MX vs. ATV Supercross Encore,3,35
148,MLB The Show 17,3,87
149,MLB The Show 16,3,84.71428571
150,MLB 15: The Show,3,78.75
151,MLB 14: The Show,3,82.5
152,Lumines Remastered,3,86.16666667
153,LittleBigPlanet 3,3,78.13509361
154,Little Nightmares,3,80.01404417
155,Lightfield,3,67
156,Leo's Fortune HD Edition,3,75
157,Lego Dimensions,3,80.79166667
158,Last Day of June,3,76.30390486
159,Kero Blaster,3,78.125
160,Kerbal Space Program,3,83.37970399
161,Journey,3,89.80962645
162,Jet Car Stunts,3,60
163,InnerSpace,3,60.625
164,INVERSUS Deluxe,3,80
165,INVERSUS,3,74.1875
166,INK,3,78
167,Hyper Sentinel,3,70
168,Hunter's Legacy,3,67
169,Human: Fall Flat,3,67.42961715
170,Harvest Moon: Light of Hope Special Edition,3,64
171,Harvest Moon: A Wonderful Life Special Edition,3,80
172,Hand of Fate 2,3,77.65
173,Grow Up,3,70.55063173
174,Grand Prix Rock 'N Racing,3,35
175,Gran Turismo Sport,3,76.67928625
176,Gotcha Racing 2nd,3,90
177,Gorogoa,3,84.37943334
178,Ginger: Beyond the Crystal,3,57.3
179,Futuridium EP Deluxe,3,51.19898941
180,Frozen Free Fall,3,90
181,Flower,3,79.35942187
182,Flame Over,3,50
183,Fill-a-Pix: Phil's Epic Adventure,3,61
184,Fez,3,83.22298302
185,Fe,3,72.04545455
186,Farming Simulator 17,3,76.73540726
187,Farming Simulator 15,3,60.85600134
188,Fantastic Contraption,3,68.25
189,FIFA 18,3,79.90276335
190,F1 2018,3,74.5
191,F1 2017,3,84.7497203
192,F1 2016,3,81.57792779
193,F1 2015,3,68.41520181
194,Expand,3,77.5
195,Everybody's Tennis,3,73.33333333
196,Escape Goat 2,3,80
197,Embers of Mirrim,3,70
198,Earth Atlantis,3,77.5
199,Driveclub,3,76.2902411
200,DriveClub VR,3,65.83333333
201,Dragon Quest,3,73.90853579
202,Don't Starve,3,77.14308706
203,Don Bradman Cricket 17,3,60
204,Disc Jam,3,68.38056129
205,DiRT Rally,3,84.43901604
206,Defunct,3,80
207,Death Squared,3,69.41666667
208,Dead Star,3,64.88212708
209,Dangerous Golf,3,59.17857143
210,DUPLICATEAirheart,3,70
211,Conga Master,3,68.33333333
212,Conarium,3,76
213,Cities: Skylines,3,79.1653443
214,Chess Ultra,3,71.5
215,Chariot,3,71
216,Casey Powell Lacrosse 16,3,60
217,Bubsy: The Woolies Strike Back,3,41.66666667
218,Brunswick Pro Bowling,3,47.91666667
219,Bridge Constructor: Stunts,3,58.75
220,Bridge Constructor Portal,3,85.125
221,Bridge Constructor,3,58.57849383
222,Blazing Star,3,86
223,Birthdays the Beginning,3,60.3
224,Binaries,3,67.5
225,Beyond Eyes,3,67.44924152
226,Bears Can't Drift!?,3,54.5
227,Battleship,3,68.33333333
228,Baja: Edge of Control HD,3,67.5
229,Baila Latino,3,90
230,Backgammon Blitz,3,50
231,Azkend 2: The World Beneath,3,63.25
232,Atari Flashback Classics Volume 2,3,80.25
233,Assetto Corsa,3,73.83679661
234,Aqua Moto Racing Utopia,3,75
235,Aqua Kitty: Milk Mine Defender,3,80.33333333
236,Amplitude,3,70.20616771
237,Alteric,3,50
238,Alpha Mission II,3,73
239,All-Star Fruit Racing,3,58.83333333
240,Alchemic Jousts,3,60
241,Adam's Venture: Origins,3,52
242,AdVenture Capitalist,3,65.10945737
243,Action Henk,3,66.91700899
244,Ace Banana,3,26.66666667
245,Absolute Drift: Zen Edition,3,70.5
246,Aaru's Awakening,3,61.31500418
247,Aaero,3,74.83333333
248,AIPD,3,57.5
249,AFL Evolution,3,60
250,ACA NEOGEO STREET HOOP,3,70
251,ACA NEOGEO SOCCER BRAWL,3,80
252,ACA NEOGEO ALPHA MISSION II,3,51
253,ABZÃ›,3,80.23661099
254,A Boy and His Blob,3,70.16666667
255,3D Mini Golf,3,40
256,36 Fragments of Midnight,3,47
,,Mean:,69.48465792
,,Std:,12.39785149
