,name,esrb,total_rating
0,Ōkami HD,5.0,86.62726547927755
1,forma.8,4.0,77.94368919630995
2,flOw,3.0,74.6961664457953
3,de Blob 2,4.0,74.1931866884555
4,de Blob,3.0,76.0
5,Zotrix,3.0,42.0
6,Zone of the Enders: The 2nd Runner,6.0,70.64541860726041
7,Zombie Vikings,5.0,61.44318946537615
8,Zombie Army Trilogy,6.0,80.625
9,Zombi,6.0,63.8596268928876
10,Zombeer,6.0,46.25
11,Ziggurat,5.0,75.54157938097481
12,Zero Escape: Zero Time Dilemma,6.0,79.27423886822271
13,Zenith,6.0,55.0
14,Zen Pinball 2,4.0,73.5
15,Yu-Gi-Oh! Legacy of the Duelist,4.0,80.00791870159205
16,Ys VIII: Lacrimosa of Dana,5.0,87.52472976801769
17,Ys Origin,5.0,83.67524064465354
18,Yooka-Laylee,4.0,69.3782297914947
19,Yonder: The Cloud Catcher Chronicles,3.0,74.08694310468721
20,Yesterday Origins,6.0,78.8
21,Yakuza: Kiwami,6.0,81.25560058627951
22,Yakuza Kiwami 2,6.0,85.6
23,Yakuza 6: The Song of Life,6.0,82.6470588235294
24,Yakuza 0,6.0,87.96041781451196
25,Xeodrifter,3.0,73.66944666240894
26,Xenoraid,4.0,69.16666666666666
27,XCOM 2,5.0,83.30827059969005
28,X-Morph: Defense,5.0,80.875
29,Wuppo,3.0,78.6
30,Wulverblade,6.0,78.0
31,Worms W.M.D,4.0,77.4679779069674
32,Worms Battlegrounds,5.0,72.02961903815961
33,World to the West,4.0,73.875
34,World of Tanks,5.0,76.3785422917593
35,World of Final Fantasy,4.0,76.90846542344275
36,Wonder Boy: The Dragon's Trap,4.0,76.1068693671647
37,Wolfenstein: The New Order,6.0,80.17774921910521
38,Wolfenstein II: The New Colossus,6.0,86.11448813246506
39,Woah Dave!,3.0,79.5
40,Wizard of Legend,4.0,71.3367205364713
41,Windjammers,3.0,84.2070871086464
42,Wild Guns Reloaded,4.0,79.125
43,Wild Arms 3,5.0,69.9811736643568
44,Wick,6.0,83.0
45,White Night,6.0,66.01022382359494
46,Whispering Willows,5.0,64.3768656716418
47,Wheels of Aurelia,5.0,55.0
48,What Remains of Edith Finch,5.0,88.23108212665045
49,Werewolves Within,3.0,63.33333333333335
50,Weeping Doll,5.0,30.0
51,We Happy Few,6.0,66.61685826858104
52,We Are Doomed,3.0,60.0
53,Watch_Dogs,6.0,78.4868928863311
54,Wasteland 2: Director's Cut,6.0,79.26383552822215
55,Wasteland 2,6.0,78.7063472812021
56,Warriors Orochi 3 Ultimate,5.0,78.9375
57,Warriors All-Stars,5.0,76.16666666666666
58,Warhammer: End Times - Vermintide,6.0,75.0040938701776
59,"Warhammer 40,000: Inquisitor - Martyr",6.0,61.0
60,"Warhammer 40,000: Eternal Crusade",5.0,55.83333333333335
61,Warframe,6.0,71.2913095053412
62,Warface,6.0,61.8448586350525
63,War Thunder,5.0,69.8957004398589
64,WWE 2K18,5.0,67.09289866818091
65,WWE 2K17,5.0,65.4186669467136
66,WWE 2K15,5.0,51.09504344121365
67,WRC 6 FIA World Rally Championship,3.0,64.25
68,WRC 5 FIA World Rally Championship,3.0,68.5
69,Vostok Inc.,4.0,62.0
70,Volume,5.0,69.5781499817254
71,Virginia,6.0,65.54870801372665
72,Vikings: Wolves of Midgard,6.0,63.67678205537895
73,Viking Squad,4.0,79.16666666666666
74,Vesta,3.0,58.0
75,Verdun,6.0,58.78863519610025
76,Velocity 2X,4.0,83.15646168176684
77,Velocibox,3.0,73.75
78,Valley,5.0,68.60673859936715
79,Valkyria Chronicles Remastered,5.0,87.68315987344845
80,Valkyria Chronicles 4,5.0,76.75
81,Valiant Hearts: The Great War,5.0,79.24426073028334
82,Valentino Rossi: The Game,3.0,70.0
83,VVVVVV,4.0,79.90607058122879
84,VR Invaders,4.0,60.0
85,VIDEOBALL,3.0,70.4375
86,Utawarerumono: Mask of Truth,6.0,76.875
87,Utawarerumono: Mask of Deception,6.0,66.0
88,Use Your Words,6.0,60.0
89,Until Dawn,6.0,81.030912292614
90,Unravel Two,3.0,76.31764556499044
91,Unravel,3.0,81.5777119043715
92,Unepic,5.0,68.8876574021035
93,Undertale,3.0,92.84700949808916
94,Under Night In-Birth Exe:Late[st],5.0,74.3333333333333
95,Uncharted: Drake's Fortune,5.0,84.5597286626288
96,Uncharted 4: A Thief's End,5.0,93.42068389035528
97,Uncharted 2: Among Thieves,5.0,93.4862358124708
98,Unbox: Newbies Adventure,3.0,74.0
99,Unbox,3.0,62.42033001637485
100,Ultratron,5.0,69.43112461685995
101,Ultra Street Fighter IV,5.0,79.0256169083754
102,Ultimate Marvel vs. Capcom 3,5.0,75.7090374062619
103,Ultimate Chicken Horse,4.0,75.16749002095091
104,Typoman,4.0,79.64285714285715
105,Type:Rider,4.0,81.0466513538458
106,Tumblestone,3.0,67.5
107,TumbleSeed,3.0,82.0
108,Tumble VR,3.0,66.3333333333333
109,Trulon: The Shadow Engine,4.0,49.83333333333335
110,Tropico 5,5.0,72.67496631173361
111,Tron Run/r,4.0,71.25
112,Troll and I,5.0,45.33333333333335
113,Trivial Pursuit Live!,3.0,80.0
114,Trine 3: The Artifacts of Power,4.0,69.61881906875296
115,Trine,5.0,81.75100356507205
116,Tricky Towers,3.0,73.7092956613906
117,Trials of the Blood Dragon,5.0,56.44117647058825
118,Trials Fusion,4.0,79.3720183837092
119,Treadnauts,4.0,70.0
120,Transistor,5.0,84.96881304236065
121,Transformers: Fall of Cybertron,5.0,78.3183447150043
122,Transformers: Devastation,5.0,73.61551286929085
123,Transference,6.0,70.625
124,Transcripted,4.0,70.0
125,Trailblazers,3.0,72.0
126,Toy Soldiers: War Chest,5.0,69.375
127,Toy Odyssey: The Lost and Found,4.0,62.5
128,Towerfall Ascension,4.0,86.2214325242948
129,Toukiden: Kiwami,5.0,65.3
130,Toukiden 2,5.0,77.30769230769229
131,Touhou: Scarlet Curiosity,5.0,64.4375
132,Touhou Kobuto V: Burst Battle,5.0,37.0
133,Touhou Genso Wanderer Reloaded,1.0,74.0
134,Torment: Tides of Numenera,6.0,77.5162762809217
135,Toren,5.0,57.131819750505
136,Tooth and Tail,5.0,80.92822361407065
137,Tony Hawk's Pro Skater 5,5.0,57.23664422767835
138,Tomb Raider: Definitive Edition,6.0,88.14141369718895
139,Tom Clancy's The Division,6.0,77.48037494682106
140,Tom Clancy's Rainbow Six: Siege,6.0,78.8156270594494
141,Tom Clancy's Rainbow Six Siege - Advanced Edition,6.0,80.0
142,Tom Clancy's Ghost Recon: Wildlands,6.0,74.04635016307225
143,Toki Tori 2+,3.0,79.5
144,Titanfall 2,6.0,85.8327552727616
145,Titan Souls,5.0,72.82414650292361
146,Titan Quest,5.0,80.2922543272462
147,Titan Attacks!,3.0,69.79997558036305
148,Tiny Brains,4.0,63.08333333333335
149,Timespinner,5.0,85.0
150,Time Machine VR,5.0,57.5
151,Thumper,4.0,84.5674724568564
152,Three Fourths Home,6.0,42.7624636500225
153,This is the Police,6.0,65.31525848846225
154,This War of Mine,6.0,82.21809022137055
155,Thief,6.0,67.41713617270955
156,Theseus,5.0,63.5
157,The Wolf Among Us,6.0,82.37422501526135
158,The Witness,3.0,85.11759387499384
159,The Witcher 3: Wild Hunt,6.0,94.2852467333896
160,The Witch and the Hundred Knight 2,5.0,63.0
161,The Warriors,6.0,85.79115099368394
162,The Wardrobe,6.0,70.0
163,The Walking Dead: The Final Season,6.0,81.0
164,The Walking Dead: Season Two,6.0,81.3071333512427
165,The Voice,4.0,52.5
166,The Vanishing of Ethan Carter,6.0,79.3951816533674
167,The Turing Test,5.0,73.59148920367215
168,The Tenth Line,4.0,70.0
169,The Technomancer,6.0,70.8611111111111
170,The Talos Principle,4.0,88.73980619306985
171,The Swords of Ditto,4.0,61.2777777777778
172,The Swindle,4.0,66.6875
173,The Swapper,4.0,83.21127298789341
174,The Surge,6.0,71.45718025066134
175,The Spectrum Retreat,5.0,67.5
176,The Solus Project,5.0,66.86394741964736
177,The Sims 4,5.0,73.50062220142769
178,The Sexy Brutale,5.0,75.96585155705276
179,The Raven Remastered,5.0,56.5
180,The Persistence,6.0,80.0
181,The Peanuts Movie: Snoopy's Grand Adventure,3.0,67.25
182,The Park,6.0,66.53831072136425
183,The Order: 1886,6.0,64.09056525166164
184,The Mummy: Demastered,4.0,82.0
185,The Mooseman,4.0,70.0
186,The Metronomicon,4.0,81.0
187,The Lost Child,5.0,81.0
188,The Long Reach,6.0,70.0
189,The Long Dark,5.0,77.62509080322305
190,The Little Acre,4.0,72.05163922025994
191,The Legend of Korra,5.0,58.7763611525585
192,The Legend of Kage,3.0,67.8265800029904
193,The Legend of Heroes: Trails of Cold Steel,5.0,85.7777777777778
194,The Last Guardian,5.0,83.69149318874224
195,The King of Fighters XIV,5.0,79.7647058823529
196,The Journey Down: Chapter Three,5.0,87.66355140186916
197,The Jackbox Party Pack 3,5.0,83.7579626210043
198,The Jackbox Party Pack,5.0,80.49844193706195
199,The Invisible Hours,5.0,76.25
200,The Inner World: The Last Wind Monk,3.0,75.0
201,The Inner World,3.0,76.75587685723755
202,The Incredible Adventures of Van Helsing,1.0,65.76720605456336
203,The Huntsman: Winter's Curse,5.0,61.0
204,The Golf Club 2019 featuring PGA TOUR,3.0,59.625
205,The Golf Club 2,3.0,61.5
206,The Golf Club,3.0,68.75
207,The Flame in the Flood: Complete Edition,5.0,80.0
208,The Flame in the Flood,5.0,77.18766098567306
209,The Final Station,5.0,71.3861314189162
210,The Fall Part 2: Unbound,5.0,75.0
211,The Fall,5.0,78.59544273033785
212,The Evil Within 2,6.0,84.19754736616505
213,The Evil Within,6.0,74.14657692630914
214,The Escapists: The Walking Dead,5.0,72.0
215,The Escapists 2,5.0,77.7222222222222
216,The Escapists,5.0,69.5912977257899
217,The Elder Scrolls V: Skyrim Special Edition,6.0,85.04180669446875
218,The Elder Scrolls Online,6.0,70.73107527003594
219,The Deadly Tower of Monsters,5.0,76.16357278462431
220,The Crew 2,1.0,62.5825302807212
221,The Crew,5.0,64.8649736814037
222,The Count Lucanor,5.0,81.66666666666666
223,The Council - Episode 3: Ripples,6.0,70.0
224,The Coma: Recut,5.0,66.66666666666666
225,The Bunker,5.0,63.32287189618366
226,The Bug Butcher,5.0,76.3
227,The Brookhaven Experiment,6.0,65.0
228,The Bridge,3.0,70.25723429398295
229,The Book of Unwritten Tales 2,5.0,82.5266851422719
230,The Bit.Trip,3.0,86.0
231,The Binding of Isaac: Rebirth,6.0,91.63519484714544
232,The Banner Saga 2,5.0,88.560438482304
233,The Banner Saga,5.0,85.4563121200506
234,The Awesome Adventures of Captain Spirit,6.0,80.5438720994434
235,The Amazing Spider-Man 2,5.0,53.00873205852925
236,The Adventure Pals,4.0,72.7
237,The 25th Ward: The Silver Case,6.0,66.25
238,Tharsis,6.0,71.58459142928385
239,Tetris Ultimate,3.0,67.6802379063118
240,Tethered,4.0,77.5
241,Teslagrad,3.0,79.28458793588871
242,Tesla vs Lovecraft,5.0,75.0
243,Terraria,5.0,77.6617172029904
244,Tennis in the face,4.0,72.16666666666666
245,Tennis World Tour,3.0,35.0
246,Tembo the Badass Elephant,4.0,75.5
247,Tekken Tag Tournament,5.0,79.96835840280491
248,Tekken 7,5.0,82.83258975843965
249,Teenage Mutant Ninja Turtles: Mutants in Manhattan,5.0,48.11572029023435
250,Talisman: Digital Edition,4.0,60.0
251,Tales of Zestiria,5.0,73.3911421728899
252,Tales from the Borderlands,6.0,87.0242498252857
253,Tales Of Berseria,5.0,84.43545920966224
254,Tachyon Project,3.0,57.5
255,Table Top Racing: World Tour,3.0,49.8181333038187
256,TINY METAL,4.0,71.33333333333334
257,TERA,6.0,71.8292057268454
258,Sébastien Loeb Rally Evo,3.0,61.66666666666665
259,Sylvio,5.0,56.5
260,Syberia 3,5.0,49.7042280444561
261,Sword Coast Legends,5.0,70.22389061095231
262,Sword Art Online: Lost Song,5.0,79.75
263,Sword Art Online: Hollow Realization,5.0,69.1
264,Sword Art Online Re: Hollow Fragment,5.0,64.5
265,Surviving Mars,4.0,71.90981292100821
266,Surgeon Simulator: Experience Reality,5.0,45.0
267,Surgeon Simulator 2013,5.0,77.68102995425869
268,Super Stardust Ultra,3.0,75.89244070061176
269,Super Rude Bear Resurrection,5.0,79.25
270,Super Mutant Alien Assault,5.0,71.0
271,Super Meat Boy,5.0,85.78803590077725
272,Super Hydorah,4.0,73.33333333333334
273,Super Daryl Deluxe,5.0,68.75
274,Super Bomberman R Shiny Edition,4.0,82.0
275,Super Bomberman R,4.0,65.33333333333334
276,Sundered,5.0,84.55324707709224
277,Suicide Guy,5.0,75.0
278,Subnautica,4.0,84.8407900928912
279,Styx: Shards of Darkness,6.0,75.15907679200065
280,Styx: Master of Shadows,5.0,70.22812896712905
281,Strike Suit Zero,5.0,70.58333333333334
282,Strider,4.0,75.50709460969861
283,Strafe,6.0,66.0
284,Stories: The Path of Destinies,5.0,69.76757563962595
285,Stifled,5.0,67.0
286,Steins;Gate 0,6.0,83.45
287,Steins;Gate,6.0,88.5183286757775
288,Steep,5.0,80.84611389108366
289,SteamWorld Heist,4.0,90.31459233981003
290,SteamWorld Dig 2,4.0,86.9381338777888
291,SteamWorld Dig,4.0,78.6581695209886
292,State of Mind,6.0,58.5
293,Stardew Valley,4.0,89.20512047623416
294,Star Wars: Racer Revenge,3.0,75.5
295,Star Wars: Jedi Starfighter,5.0,76.6666666666667
296,Star Wars Battlefront II: Elite Trooper Deluxe Edition,5.0,60.0
297,Star Wars Battlefront II,5.0,73.3188253327724
298,Star Wars Battlefront,5.0,69.5557937811542
299,Star Trek: Bridge Crew,4.0,75.91666666666666
300,Star Trek Online,5.0,71.45793213742806
301,Star Ocean: The Last Hope - 4K & Full HD Remaster,5.0,65.0
302,Star Ocean: Integrity and Faithlessness,5.0,61.0468222006203
303,Sportsfriends,4.0,73.7123670527535
304,Splasher,5.0,83.5
305,Spheroids,3.0,56.83333333333335
306,Spelunky,5.0,89.16922630514125
307,Spelunker World,3.0,64.0
308,Spellspire,4.0,72.66666666666666
309,SpeedRunners,3.0,68.2620077841365
310,Space Rift,3.0,52.5
311,Space Hulk: Deathwing,5.0,54.94444444444445
312,Space Dave!,3.0,73.0
313,South Park: The Stick of Truth,6.0,83.70297405786695
314,South Park: The Fractured But Whole - SteelBook Gold Edition,4.0,57.5
315,South Park: The Fractured But Whole,6.0,84.97274117126516
316,Sound Shapes,3.0,81.72933832938224
317,Sonic Mania Plus,3.0,88.3888888888889
318,Sonic Mania,3.0,84.25725722399535
319,Sonic Forces,4.0,58.66432441856335
320,Songbringer,5.0,66.08333333333334
321,Song of the Deep,3.0,71.22336317262295
322,Soft Body,3.0,71.4
323,So Many Me,3.0,75.5
324,Sniper: Ghost Warrior 3,6.0,60.65567069631085
325,Sniper Elite III,6.0,69.994105909068
326,Sniper Elite 4,6.0,71.3894084555051
327,Snake Pass,3.0,75.26120692183511
328,Smoke and Sacrifice,5.0,70.1
329,Small Radios Big Televisions,3.0,65.9375
330,Slime-san: Superslime Edition,4.0,85.0
331,Slime Rancher,4.0,74.6061771800065
332,"Slice, Dice & Rice",6.0,67.0
333,Sleeping Dogs: Definitive Edition,6.0,80.30587612642005
334,Sleeping Dogs,6.0,81.3516573516493
335,Slayaway Camp: Butcher's Cut,6.0,78.0
336,Slam Land,4.0,60.0
