,name,esrb,total_rating
0,Zone of the Enders: The 2nd Runner,6,70.64541861
1,Zombie Army Trilogy,6,80.625
2,Zombi,6,63.85962689
3,Zombeer,6,46.25
4,Zero Escape: Zero Time Dilemma,6,79.27423887
5,Zenith,6,55
6,Yesterday Origins,6,78.8
7,Yakuza: Kiwami,6,81.25560059
8,Yakuza Kiwami 2,6,85.6
9,Yakuza 6: The Song of Life,6,82.64705882
10,Yakuza 0,6,87.96041781
11,Wulverblade,6,78
12,Wolfenstein: The New Order,6,80.17774922
13,Wolfenstein II: The New Colossus,6,86.11448813
14,Wick,6,83
15,White Night,6,66.01022382
16,We Happy Few,6,66.61685827
17,Watch_Dogs,6,78.48689289
18,Wasteland 2: Director's Cut,6,79.26383553
19,Wasteland 2,6,78.70634728
20,Warhammer: End Times - Vermintide,6,75.00409387
21,"Warhammer 40,000: Inquisitor - Martyr",6,61
22,Warframe,6,71.29130951
23,Warface,6,61.84485864
24,Virginia,6,65.54870801
25,Vikings: Wolves of Midgard,6,63.67678206
26,Verdun,6,58.7886352
27,Utawarerumono: Mask of Truth,6,76.875
28,Utawarerumono: Mask of Deception,6,66
29,Use Your Words,6,60
30,Until Dawn,6,81.03091229
31,Transference,6,70.625
32,Torment: Tides of Numenera,6,77.51627628
33,Tomb Raider: Definitive Edition,6,88.1414137
34,Tom Clancy's The Division,6,77.48037495
35,Tom Clancy's Rainbow Six: Siege,6,78.81562706
36,Tom Clancy's Rainbow Six Siege - Advanced Edition,6,80
37,Tom Clancy's Ghost Recon: Wildlands,6,74.04635016
38,Titanfall 2,6,85.83275527
39,Three Fourths Home,6,42.76246365
40,This is the Police,6,65.31525849
41,This War of Mine,6,82.21809022
42,Thief,6,67.41713617
43,The Wolf Among Us,6,82.37422502
44,The Witcher 3: Wild Hunt,6,94.28524673
45,The Warriors,6,85.79115099
46,The Wardrobe,6,70
47,The Walking Dead: The Final Season,6,81
48,The Walking Dead: Season Two,6,81.30713335
49,The Vanishing of Ethan Carter,6,79.39518165
50,The Technomancer,6,70.86111111
51,The Surge,6,71.45718025
52,The Persistence,6,80
53,The Park,6,66.53831072
54,The Order: 1886,6,64.09056525
55,The Long Reach,6,70
56,The Evil Within 2,6,84.19754737
57,The Evil Within,6,74.14657693
58,The Elder Scrolls V: Skyrim Special Edition,6,85.04180669
59,The Elder Scrolls Online,6,70.73107527
60,The Council - Episode 3: Ripples,6,70
61,The Brookhaven Experiment,6,65
62,The Binding of Isaac: Rebirth,6,91.63519485
63,The Awesome Adventures of Captain Spirit,6,80.5438721
64,The 25th Ward: The Silver Case,6,66.25
65,Tharsis,6,71.58459143
66,Tales from the Borderlands,6,87.02424983
67,TERA,6,71.82920573
68,Styx: Shards of Darkness,6,75.15907679
69,Strafe,6,66
70,Steins;Gate 0,6,83.45
71,Steins;Gate,6,88.51832868
72,State of Mind,6,58.5
73,South Park: The Stick of Truth,6,83.70297406
74,South Park: The Fractured But Whole,6,84.97274117
75,Sniper: Ghost Warrior 3,6,60.6556707
76,Sniper Elite III,6,69.99410591
77,Sniper Elite 4,6,71.38940846
78,"Slice, Dice & Rice",6,67
79,Sleeping Dogs: Definitive Edition,6,80.30587613
80,Sleeping Dogs,6,81.35165735
81,Slayaway Camp: Butcher's Cut,6,78
82,Siren,6,71
83,Sherlock Holmes: Crimes & Punishments,6,79.51651711
84,Shadow of the Tomb Raider,6,82.46092005
85,Shadow Warrior 2,6,78.77235131
86,Shadow Warrior,6,73.95499217
87,Serial Cleaner,6,73.6652503
88,School Girl/Zombie Hunter,6,52.25
89,Samurai Shodown V Special,6,72.5
90,Salt and Sanctuary,6,85.76661687
91,Saints Row IV: Re-elected,6,77.73685737
92,Saints Row IV,6,79.35820814
93,SOMA,6,86.89564798
94,Ruiner,6,77.42847875
95,Roundabout,6,64.16666667
