,name,esrb,total_rating
0,Touhou Genso Wanderer Reloaded,1,74
1,The Incredible Adventures of Van Helsing,1,65.76720605
2,The Crew 2,1,62.58253028
3,SNK Heroines ~Tag Team Frenzy~,1,62.25
4,Rogue Trooper: Redux,1,74.875
5,Road Redemption,1,76.75
6,Plants vs. Zombies: Garden Warfare,1,71.86419237
7,NBA 2K19,1,65.875
8,Madden NFL 17,1,79.48879921
9,MX vs. ATV All Out,1,50
10,Knack II,1,65.37532978
11,Just Cause 3,1,77.17022257
12,Immortal: Unchained,1,50
13,Guacamelee! 2,1,86.9827412
14,Flatout 4: Total Insanity,1,63
15,FIFA 14,1,78.54418101
16,Evolve,1,71.4718928
17,Dragon Quest Heroes II,1,65.93333333
18,Disgaea 1 Complete,1,81
19,Astebreed,1,81
20,Adventure Time: Finn and Jake Investigations,1,67.5
,,Mean:,70.06811565
,,Std:,9.692593
