,name,esrb,total_rating
0,Ōkami HD,5,86.62726548
1,Zombie Vikings,5,61.44318947
2,Ziggurat,5,75.54157938
3,Ys VIII: Lacrimosa of Dana,5,87.52472977
4,Ys Origin,5,83.67524064
5,XCOM 2,5,83.3082706
6,X-Morph: Defense,5,80.875
7,Worms Battlegrounds,5,72.02961904
8,World of Tanks,5,76.37854229
9,Wild Arms 3,5,69.98117366
10,Whispering Willows,5,64.37686567
11,Wheels of Aurelia,5,55
12,What Remains of Edith Finch,5,88.23108213
13,Weeping Doll,5,30
14,Warriors Orochi 3 Ultimate,5,78.9375
15,Warriors All-Stars,5,76.16666667
16,"Warhammer 40,000: Eternal Crusade",5,55.83333333
17,War Thunder,5,69.89570044
18,WWE 2K18,5,67.09289867
19,WWE 2K17,5,65.41866695
20,WWE 2K15,5,51.09504344
21,Volume,5,69.57814998
22,Valley,5,68.6067386
23,Valkyria Chronicles Remastered,5,87.68315987
24,Valkyria Chronicles 4,5,76.75
25,Valiant Hearts: The Great War,5,79.24426073
26,Unepic,5,68.8876574
27,Under Night In-Birth Exe:Late[st],5,74.33333333
28,Uncharted: Drake's Fortune,5,84.55972866
29,Uncharted 4: A Thief's End,5,93.42068389
30,Uncharted 2: Among Thieves,5,93.48623581
31,Ultratron,5,69.43112462
32,Ultra Street Fighter IV,5,79.02561691
33,Ultimate Marvel vs. Capcom 3,5,75.70903741
34,Tropico 5,5,72.67496631
35,Troll and I,5,45.33333333
36,Trine,5,81.75100357
37,Trials of the Blood Dragon,5,56.44117647
38,Transistor,5,84.96881304
39,Transformers: Fall of Cybertron,5,78.31834472
40,Transformers: Devastation,5,73.61551287
41,Toy Soldiers: War Chest,5,69.375
42,Toukiden: Kiwami,5,65.3
43,Toukiden 2,5,77.30769231
44,Touhou: Scarlet Curiosity,5,64.4375
45,Touhou Kobuto V: Burst Battle,5,37
46,Toren,5,57.13181975
47,Tooth and Tail,5,80.92822361
48,Tony Hawk's Pro Skater 5,5,57.23664423
49,Titan Souls,5,72.8241465
50,Titan Quest,5,80.29225433
51,Timespinner,5,85
52,Time Machine VR,5,57.5
53,Theseus,5,63.5
54,The Witch and the Hundred Knight 2,5,63
55,The Turing Test,5,73.5914892
56,The Spectrum Retreat,5,67.5
57,The Solus Project,5,66.86394742
58,The Sims 4,5,73.5006222
59,The Sexy Brutale,5,75.96585156
60,The Raven Remastered,5,56.5
61,The Lost Child,5,81
62,The Long Dark,5,77.6250908
63,The Legend of Korra,5,58.77636115
64,The Legend of Heroes: Trails of Cold Steel,5,85.77777778
65,The Last Guardian,5,83.69149319
66,The King of Fighters XIV,5,79.76470588
67,The Journey Down: Chapter Three,5,87.6635514
68,The Jackbox Party Pack 3,5,83.75796262
69,The Jackbox Party Pack,5,80.49844194
70,The Invisible Hours,5,76.25
71,The Huntsman: Winter's Curse,5,61
72,The Flame in the Flood: Complete Edition,5,80
73,The Flame in the Flood,5,77.18766099
74,The Final Station,5,71.38613142
75,The Fall Part 2: Unbound,5,75
76,The Fall,5,78.59544273
77,The Escapists: The Walking Dead,5,72
78,The Escapists 2,5,77.72222222
79,The Escapists,5,69.59129773
80,The Deadly Tower of Monsters,5,76.16357278
81,The Crew,5,64.86497368
82,The Count Lucanor,5,81.66666667
83,The Coma: Recut,5,66.66666667
84,The Bunker,5,63.3228719
85,The Bug Butcher,5,76.3
86,The Book of Unwritten Tales 2,5,82.52668514
87,The Banner Saga 2,5,88.56043848
88,The Banner Saga,5,85.45631212
89,The Amazing Spider-Man 2,5,53.00873206
90,Tesla vs Lovecraft,5,75
91,Terraria,5,77.6617172
92,Tekken Tag Tournament,5,79.9683584
93,Tekken 7,5,82.83258976
94,Teenage Mutant Ninja Turtles: Mutants in Manhattan,5,48.11572029
95,Tales of Zestiria,5,73.39114217
96,Tales Of Berseria,5,84.43545921
97,Sylvio,5,56.5
98,Syberia 3,5,49.70422804
99,Sword Coast Legends,5,70.22389061
100,Sword Art Online: Lost Song,5,79.75
101,Sword Art Online: Hollow Realization,5,69.1
102,Sword Art Online Re: Hollow Fragment,5,64.5
103,Surgeon Simulator: Experience Reality,5,45
104,Surgeon Simulator 2013,5,77.68102995
105,Super Rude Bear Resurrection,5,79.25
106,Super Mutant Alien Assault,5,71
